customer_unique_id,total_spent
0a0a92112bd4c708ca5fde585afaa872,13440
da122df9eeddfedc1dc1f5349a1a690c,7388
763c8b1c9c68a0229c42c9fc6f662b93,7160
dc4802a71eae9be1dd28f5d788ceb526,6735
459bef486812aa25204be022145caa62,6729
ff4159b92c40ebe40454e3e6a7c35ed6,6499
4007669dec559734d6f53e029e360987,5934.6
eebb5dda148d3893cdaf5b5ca3040ccb,4690
5d0a2980b292d049061542014e8960bf,4599.9
48e1ac109decbb87765a3eade6854098,4590
a229eba70ec1c2abef51f04987deb7a5,4400
edde2314c6c30e864a128ac95d6b2112,4399.87
fa562ef24d41361e476e748681810e1e,4099.99
c8460e4251689ba205045f3ea17884a1,4080
ca27f3dac28fb1063faddd424c9d95fa,4059
055ec572ac7f3c7bdd04a183830ebe59,3999.98
011875f0176909c5cf0b14a9138bb691,3999.9
edf81e1f3070b9dac83ec83dacdbb9bc,3999
5e713be0853d8986528d7869a0811d2b,3980
f0767ae738c3d90e7b737d7b8b8bb4d1,3930
58483a1c055dfb600f57c5b867174542,3899
3fec1a05177762f279472253113d568a,3700
5d09b0d82126457e2a8ebfb9c9a1ffc4,3699.99
bc5e25094a7d51b6aee35236572e64f4,3690
931eabdf0636b8fd60369a8d759917d6,3597
03796b63235e0e0a299084988c662c7e,3549
59d66d72939bc9497e19d89c61a96d5f,3459
2c3b08cf3584d8c0a81d9618a73aa219,3399.99
76a08544f95591acec0d4c976054c459,3300
9b11e010850a4045d2da80c7783fdbd1,3198
7a96eb0a685f5c19b7dad29fc802aa64,3124
46450c74a0d8c5ca9395da1daac6c120,3109.99
bbeb907759ef5fc169099af3c88d535d,3105
53fb3435773a4690e56010b169ee2820,3099.9
1b76903617af13189607a36b0469f6f3,3099.75
ce3fe361f9e68bf0a813baaae1334d01,3099
95a744604de66a2e40e18086e69be4f2,3089
895617ab63a9ad8881d9470f7427cd25,2999.99
c6111f70f40b3420e387493c627c27fa,2999.99
58c1b085b54c03a1f1ab5f13d64c2b1c,2999.98
f886a3f43af9ac928fbb4b56436c528c,2999.9
ea984b06b18cc6905bc2f9b0a3d1c986,2999.89
0f75637a7e2f7b6ae43665d1f7d0ca5d,2999.89
6172bd5b7f52ade8c6c4548b448ff54f,2999.89
2ae8173a688e326821403a5b7a6858c2,2999.89
ff0ae98646e7bbb41cf0f0d3991fef98,2999.89
ee2bb06c1d3f368e92084edefb7e4b57,2999
6f00d356a4be20527662aaf12116baab,2990
ae04948ad7210ea76801b331080e0b3a,2951
be825ddd3b40db3f91bf05b4e9435d56,2920
adfa1cab2b2c8706db21bb13c0a1beb1,2919.4
129bfc164612d70a040a844b887dfec5,2899
d9f8d6be11fb416742c9e35e725303f7,2899
5599df2eeb9e2e4f377db24e09cb976f,2874
ef8d54b3797ea4db1d63f0ced6a906e9,2849.8999999999996
c38b132f1c68c14c0d3b32e66b796eba,2799.65
c21e93b1d7b7a416d0f36fa6ebc1d60a,2799
34ff67eb3466a779b2f6b6fd56a3b953,2749.65
25bedfc6317ec4a379ef49b9c1049733,2749
030a810edeec1ceea314282513023587,2740
0de97ff655abfc142ba6fc83e86bf082,2700
ec5d2f91c651ce345616c7035fab6f9d,2700
8ad6fdb3d658f916f444aaf55a49bb29,2699
4683ad127301c1bcbd601a30bb22d2ba,2699
1e7097be947ad5d0f7819bdc9d8d7d0e,2690
149b43a4776ea0a773ac75bc58830fb9,2690
acc38a550c42d17125cd25c32a464d26,2689
fc54c2c09aee36da48881e5bf37ef795,2680
13d9920a16127351540bcd95ad4643c8,2649.99
81d8bf17c9e450228efeedd2603edfaa,2649.99
60b2ec19b8c18082cdb5180106a97cb5,2649
bb149f7e7bfee3d984e265d0eae6181b,2649
c949c73b1318491d6b5b117acb3e24a4,2649
7814db11654d2bf3b43bae828b6eee05,2589
684da9ec00ee25877fe21ce197403d04,2550
26b5839e505ee33e6a449f7c2c403f99,2547
f44ffa618df5f8a65899275c93b14ae2,2520
69e4e534ba5e6a8124d132b271923148,2499.99
d8f1c3ed0de527caf0a7eceeb025b583,2498
94c1c602b16a9fdfbc154ef63cfa50f9,2492.5
212b7cfb2631b23e85a4645a7cba1733,2470.5
0621cda5f3ee9a2e6f3ae6ebb5fcdbe1,2470.5
7386ded430d6aeb715a0d087c38a2dfe,2433.6
0bec90ebca9ff4b2b830950bb052e52d,2428
d3ef55d6de8e4be1d4b905e8169224b5,2400
d77aa95864ae5b42160937615628723a,2400
24c0598e5978021ede868fbf7526544a,2400
84056c11d63b679a61f195ef043505f4,2399.8
5dff3703f9d82688ab5a1c92df1e4b18,2399
98133dfcdb0c24fa03c9eb4f0d69a6c4,2399
85475e754525d6d222d917dbc8251801,2399
bef3ce10ea5715fbcbcbe3b266ee94c5,2370
f755e02e22f99b9e1658cbd2186a212d,2350
8e07cbdbbb24328ece74135e2a81405b,2350
02ccceb879088a0253e1e46e0200bdb8,2338.08
5e92460d739e8dd987e279285a1d278c,2338.08
f140f377d666848e3712b51a2734d120,2338.08
6963ee67570e4454bf00b3e5fe52f734,2300
e6fad5b1c79a4760aac5068d09c46535,2300
c01158adcf91ee8f143d12388abe5f22,2299.99
f2a29b4d4c04184a9372bb7374d344ac,2299.95
5eed8cf8c54bff340300c214ddc32db4,2299.95
87070b00f89fa49dd0b01ff4bf075b8c,2299.95
c7794313e2cd53472b116a751350f132,2299
e3e0e9112264452e4700d977ce02a4d1,2288
00c07da5ba0e07b4f248a3a373b07476,2258
8a8ac60fd8ea25925f379a33ef277987,2258
ec4b05ce75316354ba9b297f64377ed6,2249
7b0eaf68a16e4808e5388c67345033c9,2238.42
6a71207bf8784292ad3f6e107ab57755,2221
bd90c3e19e58ff2439e72b0554026418,2218
8bce6306eb006a2ff6135ba36d33d644,2200
86df00dc5fd68f4dd5d5945ca19f3ed6,2200
bd879722dc92d795d57264b3c1e09f6a,2200
7dd0031f1da839843abbcda4e9fb317b,2199.99
bd8717655febcdf30f106e9f3cb24628,2199.99
c53a15252bb69a238a59b79c58a84bcf,2199
e79c794eb044c594d923722240125052,2199
352edc42ddf92161e32abb07872de623,2199
fa094305fdb6062436c99adba7d53dde,2198
1579133af5d1fadd0e5e37ec439ed1ec,2179
9d15276f07200ca33bdd7eab12ba67ad,2170
25d558c329b841732700cb45b86260cf,2160
9db254a87951220e74c58549749cf128,2160
03adb96012772d4374285b6a701f3da9,2159.98
287a7cdacbcda8f842d7719e77cb8457,2150
1a3a962a15f8c6ee0178e1102387d3cc,2139.99
25d6024f1eadd97cf86cfcfb7e9617dd,2130
669e44130af1f9e6d3523ab852672374,2120.39
c5a0eef09ffd9448532ef07854769930,2110
445e36c0849ad359c7b6d99786c3357c,2110
b26746dace6d5d8633283ef402271974,2110
c77dde0ffa573d733a5afe93774246ec,2110
02e8a66528e84b3ca6150d9b1e03a26f,2110
a58b1fe8146940d706e5f07d73bc7d51,2110
14f5335a43420b92aa77e1f35ada3f42,2110
12ebfdb41392890f9d7a8de957274741,2110
ea6f9323b5f8d196980fa72fb91546d0,2110
cad51aa032a0834a45c27586bce31d1c,2109.9
6ddbc64bd04d40f7768ff088d94cbeb8,2108
575fa0cb05146c256ec1c9d348ec0305,2096.94
3baa1dfebd3d28ccc8cdbf5d9faa7602,2090
e0a7e61d37dd4060ab419bdb93a9f05d,2090
00adeda9b742746c0c66e10d00ea1b74,2078.5
82cd8a647fc34614fde430b3285b913e,2070
2f99070486aafcc5dac7a979c1ed5f32,2070
8a8a3b96590da699865fa7e07e0e08ff,2062.99
e8258022c5060b1f3d861556a17fd741,2029
59bfe97acaf7979ebbc663af8bb1827d,2029
46e8adbe1802b0aa1d172eb1a4eba9fe,2029
73601b1eec55943e90ce8d61253d5c09,2009.98
c402f431464c72e27330a67f7b94d4fb,2000
4c4645e724402ec958ead69dbf1ade6c,1999.99
efb14cc2969129e2d865bc75be239916,1999.99
921972f1568c1c75a26b18b4cb4ed5a7,1999.99
5330670c6666e6f35a2688802fdb235f,1999.99
af366f48405f787edafa83d61e9ab5c5,1999.99
18d3c0c7617e44eab9bef19f29bbdb1b,1999.99
6ead799d8a12f9095ab29409be2aa075,1999.99
03d1be27ccf6d46178ecd2ad2cc1db10,1999.99
a5854c79718864cb7023094de2c0f8f8,1999.99
af4add6ae61530f1768eef38c9a52c05,1999.99
963fee8d1953b0f2bc792a06043fb11c,1999.99
10e1df2717597281c5cffa0e0a7ca7cb,1999.98
10080cf8d46d43de1133521a8567b153,1999.9
75a8083e27e7af87d890db460e048efa,1999.9
5a04d5472eb5ee998250f0977b31f772,1999.9
0bc62798218b7ebd8849210c509efe1d,1999.9
9cb4965f1caae128f5a82f1345e2e8bc,1999.9
26745aefcbade7bf038c84f9529ba5b1,1999
918c2334c6537fd745c6aea1e3fe54f8,1999
7c82b91749355c6daebaada73da54e2e,1999
c705e3b98b76bd8e56d09625ac94216a,1999
a813e96ecd044395587037a8314a4151,1999
b8b32554df7a612f3aefb40b44653a4d,1999
82c0c03a1fb8968a30707374c8566fba,1999
ee10b948f421cd32fab5283f814d0b78,1999
b0c3cd877e81291a25eb0be8b1919458,1999
92ce8d58d57d7a8f8b2d5ca4b9810b64,1999
7de6d654e4d5b71483c3799468bc27e6,1999
e197b5ef3ad3220f87041f2475b37c81,1999
af17def00ed5fb1ccbebfe805b0bb641,1997
3d60952351a48ae05804341ab1e3f7fa,1997
